codes,name,price
7898121460154,Água 1.5 L,7.0
agua1.5,Água Mineral 1.5 L,7.0
agua500,Agua Mineral 500 mL,3.0
7898121460147,Água Mineral 500 mL,3.0
aguag500,Água Mineral 500 mL c/ Gás,4.0
7898121460284,Água Mineral 500 mL c/ Gás,4.0
aguat,Água Tônica,5.0
ant600,Antártica 600 mL,13.0
78905351,Antártica Original 600 mL,13.0
argila,Argila,25.0
balac,Bala comum,0.2
balap,Bala premium,0.3
7898945526036,Bananada Nani,3.0
7898619510170,Bananinha,3.0
7898058980664,Bananinha,3.0
7898946780468,Bananinha Cremosa,3.0
7899776000054,Brinquedo,2.0
742832832632,Brinquedo,23.0
7899958223868,Brinquedo Ovo,17.0
7899958223820,Brinquedo Seven Toys,14.99
793573266538,Brinquedo Seven Toys,8.0
793573266552,Brinquedo Seven Toys,9.0
793573266569,Brinquedo Seven Toys,12.0
793573266507,Brinquedo Seven Toys,34.0
793573252739,Brinquedo Seven Toys,14.99
cach,Cachaca,28.0
cdf,cafe dois frade,6.0
cafe,Café Espresso,3.0
78905276,Cerveja 600 mL,15.0
cvjl,Cerveja Lata,5.0
7891991010061,Cerveja Lata,5.0
cvj600,Cerveja Premium 600 mL,15.0
78905498,Cerveja Premium 600 mL,15.0
7891991013024,Cerveja Premium 600mL,15.0
7896350850180,Chiclete,3.0
78928015,Chiclete Poosh,0.4
choco,Chocolate comum,3.0
chocop,Chocolate premium,5.0
7891000460207,chocolate prestigio,3.0
7622210411501,Chocolate Star,5.0
7891000462300,Chokito,3.0
7897190307582,cicle de bola,3.0
78942318,Cigarro,7.0
coca ks,coca ks,7.5
7898043110830,Cocada Branca,16.0
7622300862282,Diamante nagro,3.0
7898364280342,doce,3.0
7898364280281,doce,3.0
7898911278426,Doce,3.0
7898911278440,doce,2.0
7898364280359,doce,3.0
docec,Doce caseiro comum,3.0
7898043110991,Doce de Banana,14.0
7898043110229,Doce de Banana Cristalizado,16.0
7898043111172,Doce de Figo,14.0
7898043111141,Doce de Goiaba,12.0
7898043111080,Doce de Leite,16.0
7896492200096,Doce de Leite Bisnaga,2.0
7898043111097,Doce de Leite com Caramelo,16.0
7898043111240,Doce de Leite com MamÁo,14.0
7898043111004,Doce de Leite Tablete,17.0
7898043111189,Doce de MamÁo,12.0
7898043111042,doce queijadinha,17.0
7898043111028,Geléia de Mocotó,12.0
7898127800053,Gergeliko,7.0
7891991002561,Guarana 1L,8.0
guarana1l,Guarana 1L,8.0
h2o,H2OH!,5.0
7892840812850,H2OH!,5.0
7892840812423,H2OH!,5.0
halls,Halls,3.0
78938816,Halls,3.0
78938793,Halls,3.0
78938830,Halls,3.0
78938861,Halls,3.0
heineken,Heineken,8.0
7891000248768,Kit Kat,5.0
7891000249239,Kit Kat White,5.0
7622300862442,Laka,3.0
7898043111479,Laranjada em Calda,12.0
7898091301631,leitinho trufado,6.0
longneck,Long Neck,8.0
7891991015462,Long Neck,8.0
7891991014762,Long Neck,8.0
78936683,Long Neck,8.0
78940871,malboro,9.5
mmtcc,Marmitex com churrasco,19.0
mmtsc,Marmitex sem churrasco,18.0
mascara,mascara,3.0
mentos,Mentos,4.0
7896262304351,Mentos,4.0
7895144603063,Mentos,4.0
2AGUA50078951446030632,mentos,4.0
78939318,Ouro Branco,3.0
7897115108799,Paçoquinha,1.0
3334567501111,palha italiana,5.0
7898576520502,palha italiana,5.0
7898091300511,Picolé,6.0
7898091300603,picole grupo 1,7.0
7898091300764,Picolé Grupo 1,6.0
7898091321042,Picolé Grupo 1,7.0
7898091300795,Picolé Grupo 1,7.0
7898091300764,Picolé Grupo 1,7.0
7898091301679,Picolé Grupo 1,7.0
7898091301631,Picolé Grupo 1,7.0
7896549202974,Picolé Grupo 1,7.0
7898091301235,Picolé Grupo 1,7.0
7898091301242,Picolé Grupo 1,7.0
7898091300771,Picolé Grupo 1,7.0
7898091335001,Picolé Grupo 1,7.0
7898091300511,Picolé Grupo 1,7.0
7898091301662,Picolé Grupo 1,7.0
PCL1,Picolé Grupo 1,7.0
7898091300559,Picolé Grupo 2,4.0
7898091300412,Picolé Grupo 2,4.0
7898091301334,Picolé Grupo 2,4.0
7898091300382,Picolé Grupo 2,4.0
7898091300344,Picolé Grupo 2,4.0
PCL2,Picolé Grupo 2,4.0
7898091300801,Picolé Grupo 3,3.0
PCL3,Picolé Grupo 3,3.0
7898091300108,Picolé Grupo 4,9.5
7898091323015,Picolé Grupo 4,9.5
7898091323039,Picolé Grupo 4,9.5
PCL4,Picolé Grupo 4,9.5
7898930626017,pipoca,3.0
pirulito,Pirulito,1.0
7891000460207,prestigio,3.0
RPD,Rapadura,20.0
7898043112254,Rapadura com Amendoim,9.5
611269991000,Red Bull Lata,12.0
redbull,Redbull Lata,12.0
2000100,Refeição,59.99
2000200,Refeição,64.99
refe,Refeição,59.99
refc,Refeição,64.99
refri1.5,Refrigerante 1.5 L,9.0
7894900027129,Refrigerante 1.5 L,9.0
7891991001342,Refrigerante 2 L,10.0
7894900027013,Refrigerante 2 L,10.0
refri2,Refrigerante 2 Litros,10.0
refri600,Refrigerante 600 mL,7.0
7894900011609,Refrigerante 600 mL,7.0
